N,comment,Year,hour_z_time,an,Language
2122,Did you hear the one about the black guy?,2021-08-31,08,N,en
2123,You can&#39;t say that,2021-08-31,03,O,en
2124,Hi Mr president Barack Obama and his bro Mr president joe biden,2021-08-31,03,O,pt
2125,Hi God he knows our heart amen,2021-08-31,03,O,en
2126,He has been trained to be well in speech but has had no any value donations for America. Think about it Americans 🙂 Trump is the best ❤️,2021-08-31,02,P,en
2127,Come on. You have to wonder why some aren’t laughing!?,2021-08-31,01,O,en
2128,Turdo is the worst crime minister in Canadian history,2021-08-30,19,N,en
2129,Ebonics ?,2021-08-30,18,O,ca
2130,"My beautiful and brilliant wife Michelle is here. And then she smiles, good Lord bless them",2021-08-30,06,P,en
2131,He is black. I didn&#39;t know.,2021-08-30,03,N,en
2132,ohhhhh are you in trouble..... ahahahahahhahahahahahahahahahahahahahaah,2021-08-30,02,N,so
2133,"Can someone explain &quot;I&#39;m black enough&quot; joke at <a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=7m40s"">7:40</a>? How does that prove if he&#39;s black enough?",2021-08-30,00,N,en
2134,"The weak brand empirically cycle because meal developmentally spark during a second-hand banker. kaput, questionable accordion",2021-08-29,19,N,en
2135,When will this secret one sided war against the U.S. citizens in Cowlitz County end?   Maybe this is a question for Susan Baur?  Please stop trying to kill Cowlitz County citizens.,2021-08-29,18,N,en
2136,"I&#39;m just dying to know, how will you pay the 2 contestants that were forced to participate in this MAN HUNTING GAME SHOW, only to be killed from the blueprints to their murders?   If you don&#39;t pay them, that is a form of slavery.",2021-08-29,18,N,en
2137,Obama right up there in top 2 WORSE PRESIDENTS IN USA HISTORY 🤡🤡🤡🤡🤡🤡🤡,2021-08-29,14,P,en
2138,is he doing stand up comedy?,2021-08-29,14,O,en
2139,AWESOME  AND THE BEST  PRESIDENT IN THE FREE 🌎 WORLD!! 👌 BEST EVER ...SORRY TO SEE YOU GO MR  PREZ...YOU&#39;RE SO COOL 😎!!,2021-08-29,06,P,en
2140,The start was just great.,2021-08-29,02,P,en
2141,You are still the man of my life!!!,2021-08-29,00,O,en
2142,"What a good, caring, and intelligent man so unlike the one who followed him.",2021-08-28,19,P,en
2143,"As was mentioned to the Carrie Underwood Fan Club on the Today Show: In light of the Biden failed attempt for global hegemony at the Geneva conventions with President Putin where they discussed cybersecurity and human rights instead of rekindling the much needed START Treaty that Biden let expire in February, does the following Geneva Conventions apply to the Clinton Communist Dystopian Party Revolutionary forces movement? Violation of my Geneva Conventions Rights as a civilian and as a United States Air Force Airman in peacetime: I was dehumanized and humiliated by them 24 hours seven days a week especially during the heights of the ’Swamp Days&#39;. I was also discriminated against because of my sex, faith, religion, wealth and other prejudicial criteria as Trump Sr., Bill, Hillary, Obama, Biden and the Clinton Communist Dystopian Party Revolutionary Forces movement saw fit. They had my Chaplain’s wife kill herself for no apparent reason. They tormented me and just when I had enough they tormented me even further. I heard from 4 star generals that the torment that I endured was so bad and inhumane, that I was tormented more than World War 2 prisoners in the Asian theatre. Obama and Biden simply wrote this off and called this ruthless and relentless. Senators Mitch McConnell, Chuck Schumer and Representative Pelosi would just simply say ‘handle this’. They forced me into seeking mental health when I didn’t require it so that they could use it against me and my entire family. They manipulated my mother’s therapist so that they could get me locked up in the Hillary Clinton Internment prison where they almost successfully injected me with cocaine in my veins. I escaped by the bare thin of chance, good luck and God’s prayers. If my mother knew what they did to me in that facility, she would have dropped dead of despair and I mean this. This kind of betrayal and trust in the United States would have devastated everything that we as Americans believe in and trust. They also derailed the Sgt Lemm Family and Sgt Louis Bonacasa families at the reception ceremonies especially for SSgt Lemm after having him murdered through the Clinton International Terrorist organization network or as they call it a ‘government&#39;. They had my Medical Commander Force me to order her sons grave stone after letting me know that they had him killed through the Hillary Clinton terrorist network. They denied me any kind of medical care and insurance as a POW. They also refused to give me POW/MIA status and yet they would torment me by messaging me that I was in fact a prisoner who happened to be MIA. They would do this by car license plates, flipping over tractor trailers, crashing planes(civilian and military) setting up precarious traffic scenarios, active shooter campaigns, burning down religious buildings and houses. They even burned down a lumber yard just to remind me that they burnt down my Mother’s dream home with all of our family heirlooms in it. That was 5 generations of my families complete history!! They got into the house insurance and tormented my parents, ex-wife and me through USAA and the Insurance adjusters. They rubbed it in that the town benefitted with a new fire truck and then they would remind me at my work constantly what they did by shooting off the Air Force fire pumper. They tried repeatedly to get me in an accident so that I could be sued with no medical insurance. They used the US Postal system to send all kind of court ordered and other types of documents. They withheld my mail and then would release it just when I was being tormented. They controlled my checking accounts and other accounts and forced me to liquidate all of my stocks so that I could run out of money and LITERALLY STARVE TO DEATH. They controlled everything thing in my life so that I could not find work anywhere. I caught them trying to get me to molest my niece of which I never did. THANK GOD because all I could think was who in the world are these evil tyrannts and why me and my family!! They tried to force me into drugs, prostitution and alcoholism. I know for a fact that Joe Biden was heavily involved in all of this. He has been pursuing me and trying to have me killed since I got my commission in 2004. As an officer Biden and Obama mentally tortured me through sleep deprivation, psychological water boarding, extra sensory life circumstances and situations, coerced me into getting almost a million dollars worth of life insurance on myself, and forced me into situations very similar to their active shooter terrorist cells. They would steal all of my ideas and plans. They would force me to delete my emails of all of my work and accomplishments. They stripped me of everything. They forced me to spend money that I didn’t want to spend on things such as clothes and an expensive car. They tried repeatedly to get me on the news so that they could inform all networks who I am so that I could be killed. They killed some of my friends and family members to torment me including my father. They killed many people from my work and would tie it directly to me. They did all of this to torment me into getting me to kill myself. As for why, I had no idea until I was messaged that I was supposed to be the President?!? They executed accidents in front of me and killed multiple people. They burned down houses around where I lived all of the time. They killed people on the local and national news all of the time too and would tie it directly to me. (See 19 year old active shooters as evidence); sometimes daily and they would make sure that I knew it was because of me that these people died needlessly. They would fly over and follow me with what looked like drones. They would send Apache helicopters to my base and aim the guns directly at me as I would do my Physical Training. They would try crash planes from my base and try crashing others and always provide me the moment of impact. They would kill animals all of the time and pepper them everywhere that I went. I would see dead animals all of the time. They would also send them out so that I would be distracted and crash my car. They crashed a kids car into mine. They crashed another and thought it was a high speed head on collision so that they could destroy my wife’s embryo. They split the embryo in half when there was nothing wrong with our son a week before. They had us abort the embryo in Westchester County home of the Clinton Communist Dystopian Party Revolutionary Forces Leaders. I heard that Obama alone spent over $800 million during his presidency just to try to have me killed. (ref des CIA, NSA, FBI and DIA) Carrie Underwood, is this America? Is this the land of the free and home of opportunity. All I wanted to be was a business man so that I could have my two living sons work the business with me. Now, I am homeless and still fighting for what is simply right and just in God’s eye. Because I believe these people that did this to me and many other freedom loving citizens of the world are just wicked evil. Very Respectfully, Edward Anthony I hereby swear that everything that I just testified to can be proven in any court of law worldwide especially with help from the (CIA, FBI, DIA, DHS, the NSA and foreign Intelligence agencies)",2021-08-28,18,N,en
2144,🥰🎆🚙🔵🔵🚙🎆🥰,2021-08-28,17,O,en
2145,"Regarding his comments on truth and facts, wonder what he thinks about everything happening with the &#39;News&#39; these days ☹",2021-08-28,13,O,en
2146,"Gods, I miss Obama so much!",2021-08-28,13,P,en
2147,A lot of journalists are lying to enhacetheir station  and their  credebility it&#39;s disgusting,2021-08-28,04,N,en
2148,"PRESIDENT OBAMA HAD TO FIGHT A REPUBLICAN HOUSE AND A REPUBLICAN SENATE, I&#39;M SUPPRISE HE GOT ANYTHING DONE, THAT REPUBLICANS SAID WHEN HE GOT IN THERE THAT THEY WOULD BLOCK EVERYTHING THAT HE WANTED OR TRIED TO DO.",2021-08-28,04,O,en
2149,Great speech. Miss this guy as president.,2021-08-28,01,P,en
2150,Up any day cuz I have to go to the bathroom hahaha,2021-08-27,18,P,en
2151,Wow,2021-08-27,18,P,pl
2152,We suffered thru 8 horrible years of Obama - the Johnny Appleseed of racial hatred and division in America!!!,2021-08-27,15,N,en
2153,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=3m09s"">3:09</a> you can see Morgan freeman",2021-08-27,05,O,en
2154,Never forget that while Obama used every trendy catch phrase during his presidency he was by far the worst president in living history. Thank god he is gone.,2021-08-27,04,N,en
2155,"We are so sorry  you are gone but,at the same  token in our eyes u are still  there cause  what u have  left  behind  Un done our president ,president Biden surely is going to the  limit as a president to safe our country and we love it we love  u president Obama I still  and always say that Biden we love  you  and GOD bless AMERICA 🇺🇸❤",2021-08-27,03,P,en
2156,Boy does he think he&#39;s funny. Should of been a comedian. Would have been better at that instead of the total failure he was as President of the USA!!!!,2021-08-27,02,N,en
2157,"Married a drag queen..My Michael..er, um..",2021-08-27,00,P,cy
2158,Hes so done and just has so much fun with it haha,2021-08-26,14,P,en
2159,Bla bla  bla  bla bla bla overestimated  arrogant potus,2021-08-26,08,O,ca
2160,I miss Obama! :(,2021-08-26,05,N,et
2161,"He his a very good actor, that&#39;s all,  but every thing is fake, it&#39;s just theatre.",2021-08-26,00,P,en
2162,"Do nothing corporate shill. When Baltimore was burning due to racial tensions he never showed up to talk to people and diffuse situation, he was just a posturing up and doing photo ops. After he left Obamas purchased a large very expensive house in Martha&#39;s Vineyard worth 12mil. With a presidential salary? Yeah, right.",2021-08-25,19,P,en
2163,Do not eat the salad.,2021-08-25,19,O,en
2164,The beginning of America&#39;s chaos...,2021-08-25,17,O,en
2165,August 2021<br>Still enjoy Obama&#39;s humour and intelligence. Good man.,2021-08-24,21,P,en
2166,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=8m43s"">8:43</a> When you do your job properly no matter what!",2021-08-24,18,O,en
2167,That couple are the biggest racists on earth.,2021-08-24,07,O,en
2168,My President is and always will be totally AWESOME!!!!!,2021-08-24,01,P,en
2169,Trump hates him because he called him out about his Birth certificate.,2021-08-24,00,O,en
2170,"&quot;It&#39;s anyone&#39;s guess who she will be&quot; Man, 2016-2020 would have been SO much better with Hillary. &lt;3",2021-08-23,22,P,en
2171,"Just a trained killer, assessing threats LOL <a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=8m42s"">8:42</a>",2021-08-23,06,P,en
2172,Best realist President ever. OBAMA OUT😂😂,2021-08-23,06,P,en
2173,You wouldn&#39;t know the truth if it hit you in the face,2021-08-22,21,O,en
2174,Traitor,2021-08-22,20,O,lt
2175,"[2] And he cried mightily with a strong voice, saying, Babylon the great is fallen, is fallen, and is become the habitation of devils, and the hold of every foul spirit, and a cage of every unclean and hateful bird.",2021-08-22,18,P,en
2176,👹👹👹,2021-08-22,14,O,en
2177,"This Legend will forever remain Relevant <br>He is Hilarious,, a perfect competitor of Trevor Noah😂😂<br>Mad love Son of our land🇰🇪🇰🇪<br>    &quot;Yes we Can&quot;",2021-08-22,08,P,en
2178,"DID ANYBODY HEAR HOW SMOOTH HE SAID &quot; SETTLE DOWN&quot; at <a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=8m44s"">8:44</a> !!! So smooth!",2021-08-22,00,P,en
2179,"Dude! Wow! Talk about being &quot;woke&quot; hes woke in the right way. As a white dude myself i could never even begin to think thst way. Black peoples contributions to our lives, country etc is on undeniable, incredible. its all about character not color. Period. Any other way of thinking is so backward and unacceptable to 99% of this country.",2021-08-21,19,P,en
2180,"Anti antichrist spirit, him and Michael.., in Bible Codes. Muslim, not born in the USA. Comedian? What kind? And that settles the Debate. He is still pulling stings with Iran and behind your president, behind the scenes, in Bible codes. 😳Wake Up. (PS, was watching something, this video was all YouTube, billy gate to the doorway to hell, that had to keep paying, did not look this crap up), Yahushah is in control.<br>Hope and pray, more people will wake up now, before it is too late, welcome to intercessors. Time to wake up now.",2021-08-21,17,O,en
2181,"The Coolest, 😎 comedic closing you&#39;ll ever experience! Thank you Mr. OBAMA!",2021-08-21,09,O,en
2182,Was this the one in which he told Trump he’d never be president? …………………,2021-08-21,05,O,en
2183,Yes It was THE last one! Trump was not simple enough to be a president!!!,2021-08-21,04,O,en
2184,Obama is a leader and we were fortunate that he was our President.,2021-08-21,04,P,en
2185,"Oh so funny, I miss him :-)",2021-08-21,03,P,en
2186,Yes,2021-08-21,02,O,tr
2187,ok we all been before i know that tay love me and this sister is way worse and  spoiled,2021-08-20,20,P,en
2188,"Now, after Afghanistan, we look back and can see we have had nothing but problems like racial division, funding terrorists, defunding police, murdering police, anti-Americanism, burning American cities, ruined election processes, riots, and now the collapse of an entire country in Afghanistan. All of this chaos since this man -- Barry -- and his friend Joe Biden, was elected into American politics. Its all pretty obvious at this point who and what is causing the demise of America.",2021-08-20,16,P,en
2189,"I miss the class, quality, and honesty.",2021-08-20,15,O,en
2190,I WANT HE TO BE ANOTHER US PRESIDENT,2021-08-20,13,O,en
2191,One of the best presidents in USA history.,2021-08-20,12,P,en
2192,Given what happened in the years to follow.  The absolute destruction of truth...those closing words were absolutely tragic.  The concept of truth was bastardized and diminished.,2021-08-20,10,N,en
2193,Jokes that white people should not make. I&#39;m weak.,2021-08-20,08,N,en
2194,I&#39;m weak. KMSL. ROFL. 😆,2021-08-20,08,P,pl
2195,My president.,2021-08-20,08,O,ca
2196,"This guy is funny, he shouldn&#39;t left as a president",2021-08-20,07,P,en
2197,AND FOX &quot;NEWS&quot; ffs,2021-08-19,23,O,ca
2198,The best President we have ever had!!,2021-08-19,21,P,en
2199,A gifted orator ....,2021-08-19,18,P,en
2200,"... Eight years of this CLOWN was about all this country could bear🇺🇸  Now we’ve got another CLOWN Joe Biden🤪  It took only six months to show America, and the world, what an incompetent fool he is, as well as that joke of a Vice President, Kamala Harris😩  God bless America... we need it🙏🇺🇸🇺🇸🇺🇸",2021-08-19,14,N,en
2201,🤣😂💙,2021-08-19,03,O,en
2202,It&#39;s a bright side of his personality  <br>President. Barack Obama is a very amusing person. He makes audiences laugh a lot.<br>He has a fine sense of humor.🌹❤️,2021-08-18,20,P,en
2203,Where has all the class in our country gone.🤔,2021-08-18,19,O,en
2204,"Guantanamo is now waiting for You, a one way ticket for a cel with seaview if You&#39;re lucky.",2021-08-18,14,P,en
2205,Me ENCANTA el humor del ex-president OBAMA. I LOVE IT!!,2021-08-18,08,P,ca
2206,Lazy no good bum,2021-08-18,05,N,pl
2207,It&#39;s strange hearing a president making racist comments. Worst President ever. He didn&#39;t have this negative racist attitude when he needed votes! What a back stabber to the people who had his back.,2021-08-18,03,N,en
2208,I feel like I speak for Canadians and Americans alike when I say “come back!”,2021-08-18,01,O,en
2209,My forever President.,2021-08-18,00,O,da
2210,Miss ya…President Obama. Please keep your presence known. Especially in a time like this. Sure everyone from both sides can use your advice.,2021-08-17,23,P,en
2211,",,",2021-08-17,22,O,en
2212,Too funny 🤣😂,2021-08-17,22,P,cy
2213,Bill O&#39;Reilly was is and will always be a massive shitbag,2021-08-17,20,O,en
2214,Amen Such A Awesome President Caring Decent Classy Intelligent Person May God Continue To Bless You And Your Family Wish You Could Be President Again🙏❤️🦋🌹✝️,2021-08-17,16,P,en
2215,"Greatest President of all time.  Class,empathy, intelligence,  great father and husband, excellent communicator.",2021-08-17,15,P,en
2216,the ignorance in the comments is astounding just look at whats happening to the us embassy,2021-08-17,14,P,en
2217,Best speech ever by a president at these dinners,2021-08-17,13,P,en
2218,"At <a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=10m15s"">10:15</a> he appreciates Joe Biden, at 2016 itself",2021-08-17,10,O,en
2219,"LOL, sharp, witty, smart, great-looking.  He has it all.  In a tie with Jimmy Carter for my favorite pres.",2021-08-17,05,P,en
2220,“Oh Obama -you’re amazing.” OK I said what you want me to say Now get off The stage. That’s all you seem to care about anyways,2021-08-17,02,P,en
2221,"Thank you Obama family for showing Americans the love, respect,  and dignity you showed the world how to fill the office of the presidency like a true American.",2021-08-17,02,P,en
2222,I love this man.,2021-08-17,00,P,en
2223,Impeach Nancy - don&#39;t take a chancy!,2021-08-16,23,O,en
2224,This is the reverse speech of Ricky Gervais....,2021-08-16,22,O,en
2225,He sick,2021-08-16,21,N,en
2226,"Really great, Obama was a     excellent President",2021-08-16,17,P,en
2227,"me : can i order a pizza??<br>mom : sure.<br>me : really?<br>mom : <a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=19m57s"">19:57</a>",2021-08-16,10,O,en
2228,LORD TIM JANIS ❤️ I LOVE YOU ALWAYS.<br>THANKS GOD FOR OUR LIVES. OBAMAS ARE ON SCREEN. THANKS TIMMY JANIS ❤️ I LOVE YOU ALWAYS.,2021-08-16,05,P,en
2229,"Mr. President &amp; Mrs. First Lady, you are missed!",2021-08-16,02,P,en
2230,Class charisma humility intelligence foresight compassion. Traits we saw none of in last 4 years. I can only hope our current president will do what barack would have done. He set the bar in my mind.,2021-08-16,01,O,en
2231,:) the good old days,2021-08-16,01,P,en
2232,"Mr. President Obama , can you please, come back!<br>Just for US , the ...human beings of this , Planet!<br>We need you , Sir !<br>Thank you!",2021-08-15,18,O,en
2233,Miss you SO much/1,2021-08-15,17,O,en
2234,"Lol , trump turn out to be the She lol hehehehe LoL.. just joke , too bad .. Hillary ur innocent.. damn Russian Putin hackers .. fact Check 💯🇺🇸👍💯🇺🇸👍💯",2021-08-15,17,P,en
2235,We didn&#39;t know how good we had it until you know who became our next president.,2021-08-15,16,P,en
2236,He has more class than any leader I have ever seen in my life. The man is a manifestation of the concept of class.,2021-08-15,15,P,en
2237,“Obama out” tears 😭,2021-08-15,10,O,en
2238,Worst. President. Ever.,2021-08-15,10,N,da
2239,Thank You Mr Obama,2021-08-15,10,O,id
2240,Hollywood awaits his great acting and humility.,2021-08-15,05,P,en
2241,i feel sorry for the people who watched all 30 mins of this just to get to the two words that lasted for two seconds,2021-08-15,02,N,en
2242,⁹,2021-08-15,00,O,en
2243,Big Mike,2021-08-14,20,O,no
2244,Han svek folket han kom ifrån och lovade besöka.  Bara massa populistiska uttalande.,2021-08-14,13,O,sv
2245,I wonder if he wrote this or a writer,2021-08-14,12,O,en
2246,My man Obama!! Legend!!,2021-08-14,08,O,id
2247,"God bless, and thanks for your service.",2021-08-14,07,P,en
2248,Trump would only talk about him self and how he self maid D Head,2021-08-14,01,O,en
2249,Happy. Birthday  GodSpeed,2021-08-13,21,P,en
2250,Barack or Trump should’ve pardoned Snowden.  Putting your life on the line to be a whistleblower (which is a heroic act) shouldn’t result in permanent ban from the country you love. It’s sickening,2021-08-13,19,P,en
2251,"&quot;the republican party, the nomination process&quot; Hahahahahahahah",2021-08-13,18,O,en
2252,✌🏻,2021-08-13,16,O,en
2253,This is not shocking...,2021-08-13,10,P,en
2254,Forei6...Leaders Looking A...Head,2021-08-13,10,O,en
2255,See...Pee..Tea,2021-08-13,10,O,et
2256,Please come to God and repent and be saved. Jesus Christ is the only way to heaven. May God bless you and let you in the truth!,2021-08-13,07,O,en
2257,Maintenant même,2021-08-13,07,O,fr
2258,Je vous suivez depuis la résidence William Booth armée du salut 190 rue Félix pyat dans le troisième arrondissement de Marseille,2021-08-13,07,O,fr
2259,Je vous assure,2021-08-13,06,O,fr
2260,Vous êtes à la hauteur...,2021-08-13,06,P,fr
2261,Vous êtes pas un statut mon frère adoptif Barack Obama,2021-08-13,06,O,fr
2262,I can’t believe I’m actually watching a president that can talk and behave,2021-08-13,06,O,en
2263,Did anybody throw up ?,2021-08-13,04,O,en
2264,Muise Pratchett and oppression into you the bus should be good night,2021-08-13,03,P,en
2265,😇 good night 😘😎😎 my friends movies,2021-08-13,03,P,af
2266,"The cloudy turnip affectively discover because dinner italy learn within a busy cinema. evasive, curvy deadline",2021-08-13,03,P,en
2267,God bless 🙏,2021-08-13,03,O,en
2268,Hi,2021-08-13,03,O,nl
2269,Good gril  Peggy 😘😇😇😇😇😇,2021-08-13,03,P,cy
2270,How did guy it&#39;s crap giving he always being smart. Good men 💯💯❤️❤️🖤🖤🖤 the good guy hit the good man and good work good men 💯💯❤️❤️❤️❤️😘😘🖤🖤🖤 is Peggy,2021-08-13,03,P,en
2271,The blind leading the blind or got cut like a baby boss baby boss,2021-08-13,03,N,en
2272,The peopleno good depression depression what the hell and everybody gets angry Dublin he always being angry no good he&#39;s clapping everybody,2021-08-13,03,N,en
2273,&quot; The end of the Republic has never looked better &quot;. Significant!!!!!,2021-08-13,02,P,en
2274,"The lowest and  the weakest, the poorest, the most arrogant , corrupt, money and fame hunger , lying, hypocritical…. President ever. He could not hide his root .",2021-08-13,00,O,en
2275,Alternative title: Obama subtly roasting everyone and getting praised for it.,2021-08-12,23,N,en
2276,"The pink salad cytopathologically worry because dew unquestionably enjoy at a abhorrent digestion. fat faulty, uppity maid",2021-08-12,22,N,en
2277,🥰💖❣️🙏,2021-08-12,18,O,en
2278,People can say what they want... he did love us …all together,2021-08-12,15,P,en
2279,Need to see a movie starring Obama &amp; Biden,2021-08-12,13,O,en
2280,This will be studied by future presidents for the rest of the United States reign.,2021-08-12,12,O,en
2281,Look at the crowd wow this is so America supposed to look like this is how America look like every time you walk inside a store Or take your kids to the pool this is how America look like in every day life♥️♥️♥️ only one race is not true it’s just fake not real,2021-08-12,04,N,en
2282,Worst President ever,2021-08-11,17,N,en
2283,“Say her name” Ella French 💙💙,2021-08-11,15,O,en
2284,God bless the Obamas,2021-08-11,15,O,en
2285,It was the BIRTH CERTIFICATE  for me<br>😂🤣😂🤣😂🤣😂🤣😂🤣🥰,2021-08-11,13,O,en
2286,What a fake.,2021-08-11,12,N,en
2287,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=32m22s"">32:22</a> the most legendary moment ever.",2021-08-11,02,P,en
2288,😁,2021-08-11,01,O,en
2289,"What a shame,house of cards ,circus",2021-08-11,00,O,en
2290,I think every American should Watch.This. Now. and Often.,2021-08-11,00,O,en
2291,"And yes mr Obama ,the end of the Republican Party is just here !!! Happening.",2021-08-10,18,O,en
2292,I love how ready they both were to leave the White House. Hilarious,2021-08-10,16,P,en
2293,I can’t believe he said it’s like the red wedding! My mind instantly went to images of slaughter. This man is a pure savage. ( in my black panther voice ) OBAMA FOREVER!,2021-08-10,16,P,en
2294,This was a president USA x,2021-08-10,02,O,en
2295,For not shooting anyone in the face…thanks joe! Lol gets me every time.,2021-08-10,02,P,en
2296,U can&#39;t argue he takes the piss lol,2021-08-10,01,P,en
2297,Dropping the Mike was super fantastic,2021-08-09,22,P,en
2298,I always come back to these videos he was such an amazing individual,2021-08-09,21,P,en
2299,44th In 45th will go down in history😳,2021-08-09,15,N,en
2300,We ALL HATE UR GUTS U POS,2021-08-09,14,N,de
2301,Best president we ever had!!,2021-08-09,08,P,nl
2302,obama is so cool,2021-08-09,06,P,so
2303,Miss you💕🌸,2021-08-09,06,O,en
2304,Free PLASTINA GAZ IsraeiL,2021-08-09,02,P,en
2305,That&#39;s one sexy President let me tell You!!! If those White House bedroom walls could talk! The things they would tell 😈.,2021-08-08,23,P,en
2306,It&#39;s cute but I&#39;m a hard working american. Wish I had half the money these people do. When do we get our slice of the pie? Reduce taxes now. No politican cares about you and yours. We made them all rich.,2021-08-08,22,P,en
2307,Molly Keelean <br>Nothing,2021-08-08,21,O,en
2308,Molly Keelean <br>🌈 <br>Rainbow rocks,2021-08-08,20,O,en
2309,some fit women here :-),2021-08-08,20,P,en
2310,God dang I miss the Obama&#39;s,2021-08-08,18,O,en
2311,Happy Belated Birthday To the BEST PRESIDENT IN MY LIFETIME!!!!,2021-08-08,18,P,en
2312,This will forever be my favourite president ❤️,2021-08-08,17,O,en
2313,Is it me or does Obama troll republicans harder than anyone has ever done?,2021-08-08,16,N,en
2314,He&#39;s a different guy now...He is behind Biden to destroy America...Pay attention to this...,2021-08-08,15,N,en
2315,"Nobody tells me what to do or don&#39;t! Besides my wife. Your mother always use this excuse or at least in the Netherlands &quot; if they jump of a bridge doesn&#39;t mean you should too&quot; . But if Obama said to me&#39; jump&#39; . I swear I jump ! He is one of the best presidents. I  miss him. I don&#39;t want to disgrace other presidents.  I liked Reagan, for ending the cold War. And break down the Berlin wall.  I like Clinton too. Before that I was not born yet. Or old enough.  To understand!",2021-08-08,12,P,en
2316,The ONLY thing Obama Accomplished was the FACT he was the worst president in American history!,2021-08-07,16,N,en
2317,How true his opening was!!!,2021-08-07,13,P,en
2318,Hi,2021-08-07,07,O,nl
2319,Great!,2021-08-07,04,P,en
2320,"&quot;She looks so happy, but Next year someone else will be standing in this very spot! And its anyone&#39;s guess whos she&#39;ll be&quot;        <b>looks at Michelle</b>",2021-08-07,03,P,en
2321,POS,2021-08-07,02,O,tl
2322,Now……….this is a real president! Wow………just wow!,2021-08-07,00,P,en
2323,african choir,2021-08-07,00,O,en
2324,Who the hell is Obamma??,2021-08-06,23,O,en
2325,I miss him and Michelle like they’re old family I haven’t seen in forever 😩😩😩 they were the best ever.,2021-08-06,23,P,en
2326,"Even though I&#39;m a republican,  I think president Obama is one cool dude and I could hang out with him for hours 😁👍🤗",2021-08-06,19,P,en
2327,Hate this jerk,2021-08-06,17,N,en
2328,GOD DO I MISS THE OBAMA YEARS ZERO DRAMA OBAMA,2021-08-06,15,O,de
2329,"As a resident of Canada, Mr Obama is my favorite president south of our border (USA).",2021-08-06,07,P,en
2330,"Thank God I came across Dr IGUDIA at the right time and I saw a lot of testimonies and how he has cured a lot of people from herpes disease s then I contacted him for help and he actually cured me, he also has a cure for other form of STI",2021-08-06,01,P,en
2331,I didn&#39;t find him funny and most times more then half the audience wasn&#39;t laughing... glad I wasn&#39;t alone lol,2021-08-05,21,P,en
2332,I won’t be sticking around. Worry not.,2021-08-05,18,O,en
2333,South African guy?<br>This entire speech was foreshadowing 2021. Who knew foreshadowing could be easy. Nobody knew. A lot of people don’t know that.<br><br>“Bit of silence there. Especially from the Washington Post”. My experience exactly.,2021-08-05,18,P,en
2334,I love Joe Biden too. We do see eye to eye.,2021-08-05,18,P,en
2335,And Oreal,2021-08-05,18,O,en
2336,They call me coconut,2021-08-05,18,O,en
2337,That’s how old I feel.,2021-08-05,18,P,en
2338,Ha ha ha Global News.,2021-08-05,18,O,so
2339,Obama not funny - nope,2021-08-05,14,N,ca
2340,Not a fan of democrats..but I admire Obama&#39;s personality,2021-08-05,12,O,en
2341,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=24m41s"">24:41</a><br>“44”<br>“Finally”<br>Whoever wrote these skits are a genius. The subtleties are immaculate",2021-08-05,08,O,en
2342,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=24m13s"">24:13</a> “Coming in here during aviator time” I never noticed that line before😂😂",2021-08-05,08,O,en
2343,What a joke he is!,2021-08-05,04,O,en
2344,Obama is Osama,2021-08-05,02,O,tl
2345,"<a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=21m04s"">21:04</a>  Colonel Sanders (Bernie&#39;s dad, the chicken guy) is alive!",2021-08-05,01,N,en
2346,We need him. More than ever.,2021-08-05,00,P,en
2347,President OBAMA YOU ARE THE BEST PRESIDENT!,2021-08-04,18,P,en
2348,can someone explain to me about his jokes  &quot;i was running on CPT&quot;? i&#39;m not from USA,2021-08-06,04,O,en
2349,Hey if this Is last. Then whos it,2021-08-04,09,O,en
2350,Boo boo,2021-08-04,09,O,so
2351,Today 04/08/2021 Happy birthday to you. Wish you all the best. May God bless you in Jesus Christ name Amen ✝️❤️✝️,2021-08-04,08,P,en
2352,So missed...,2021-08-04,02,O,et
2353,what a great sense of humor.also 1 marriage kids by same marriage.ppl were so jealous they tried everything to get him out.after 8 yrs by law he had to leave..shame during Covid he&#39;d have really saved many lives...,2021-08-04,01,P,en
2354,Gawd we miss you 😢 seem like times were better back then.,2021-08-03,22,P,en
2355,God I miss that man!,2021-08-03,22,O,en
2356,Am hij te dıkıng yabo Obama,2021-08-03,20,O,tr
2357,"28-9.   Nine clear tokens the Rod. The white hand the famine the dearth of fruits the flood. The locusts  the vermin the frogs the blood. 17:101.  7-107.  7-108.  7130.  7-133.  <a href=""https://www.youtube.com/watch?v=NxFkEj7KPC0&amp;t=2m49s"">2:49</a>-74",2021-08-03,15,P,en
